RGI_ID,Year,Specific_MB
RGI60-13.09998,1901,-100.40723078198253
RGI60-13.09998,1902,315.0140460765321
RGI60-13.09998,1903,182.64033759750484
RGI60-13.09998,1904,133.24561698003063
RGI60-13.09998,1905,241.69874252044568
RGI60-13.09998,1906,-2.7059950744533636
RGI60-13.09998,1907,373.4640794572013
RGI60-13.09998,1908,-243.6275320956033
RGI60-13.09998,1909,79.90167942365669
RGI60-13.09998,1910,-230.83538783014532
RGI60-13.09998,1911,-104.35043973456584
RGI60-13.09998,1912,-405.576886345186
RGI60-13.09998,1913,-115.1639322396194
RGI60-13.09998,1914,-586.0963552655891
RGI60-13.09998,1915,-45.12135746641711
RGI60-13.09998,1916,-868.8155573328424
RGI60-13.09998,1917,-580.2879144866819
RGI60-13.09998,1918,-312.77407996219324
RGI60-13.09998,1919,130.77366897795574
RGI60-13.09998,1920,465.51296820420424
RGI60-13.09998,1921,829.1590380625877
RGI60-13.09998,1922,145.2548050092233
RGI60-13.09998,1923,310.15605036433794
RGI60-13.09998,1924,-158.08673134922526
RGI60-13.09998,1925,-252.0541470744546
RGI60-13.09998,1926,-554.1367758934656
RGI60-13.09998,1927,-78.81389405067954
RGI60-13.09998,1928,674.6940993003277
RGI60-13.09998,1929,-44.807823769531545
RGI60-13.09998,1930,186.06628874245573
RGI60-13.09998,1931,566.2957488958073
RGI60-13.09998,1932,-60.41732424655391
RGI60-13.09998,1933,-402.32425037500974
RGI60-13.09998,1934,140.44403650882833
RGI60-13.09998,1935,-56.61701229484804
RGI60-13.09998,1936,25.830322445822887
RGI60-13.09998,1937,265.67550583630486
RGI60-13.09998,1938,107.28286542669359
RGI60-13.09998,1939,-405.94015949642363
RGI60-13.09998,1940,240.37627255097559
RGI60-13.09998,1941,-0.3311335925467388
RGI60-13.09998,1942,252.21044348374184
RGI60-13.09998,1943,-73.89085988912822
RGI60-13.09998,1944,-616.0586964635713
RGI60-13.09998,1945,-117.64252402318064
RGI60-13.09998,1946,-345.08105546398156
RGI60-13.09998,1947,-382.07688399804545
RGI60-13.09998,1948,-85.67230563625337
RGI60-13.09998,1949,230.4867678243245
RGI60-13.09998,1950,-251.0759690166434
RGI60-13.09998,1951,202.19799327526835
RGI60-13.09998,1952,274.40958726983956
RGI60-13.09998,1953,201.92836418338052
RGI60-13.09998,1954,94.26717177345972
RGI60-13.09998,1955,-134.31037008741808
RGI60-13.09998,1956,-631.5096060183208
RGI60-13.09998,1957,575.028774224813
RGI60-13.09998,1958,46.93681501979875
RGI60-13.09998,1959,-86.95125245358948
RGI60-13.09998,1960,-83.3859505958557
RGI60-13.09998,1961,-23.806332734808468
RGI60-13.09998,1962,39.142186790338116
RGI60-13.09998,1963,-71.56769440578817
RGI60-13.09998,1964,53.60435227887623
RGI60-13.09998,1965,247.7848393276439
RGI60-13.09998,1966,533.7930525122114
RGI60-13.09998,1967,5.806774006838572
RGI60-13.09998,1968,-171.4671336495802
RGI60-13.09998,1969,-57.67368822608958
RGI60-13.09998,1970,-201.8198967215923
RGI60-13.09998,1971,-342.6630112540741
RGI60-13.09998,1972,244.0789686431617
RGI60-13.09998,1973,-684.7038609395021
RGI60-13.09998,1974,504.4624684770421
RGI60-13.09998,1975,291.2829926215321
RGI60-13.09998,1976,-256.5535787604655
RGI60-13.09998,1977,-175.79992857002517
RGI60-13.09998,1978,-721.113588578792
RGI60-13.09998,1979,-40.95113630225107
RGI60-13.09998,1980,52.721771481052606
RGI60-13.09998,1981,279.6557012572559
RGI60-13.09998,1982,415.33932233027343
RGI60-13.09998,1983,-142.73452203782801
RGI60-13.09998,1984,-553.0882586025402
RGI60-13.09998,1985,1.7738439161972195
RGI60-13.09998,1986,197.5612174600645
RGI60-13.09998,1987,313.04905869638947
RGI60-13.09998,1988,-102.29168521867696
RGI60-13.09998,1989,485.28542224757626
RGI60-13.09998,1990,96.2560554028952
RGI60-13.09998,1991,-3.585815371800529
RGI60-13.09998,1992,419.53918734473893
RGI60-13.09998,1993,431.54632506130287
RGI60-13.09998,1994,-111.60730871922317
RGI60-13.09998,1995,213.73357472891698
RGI60-13.09998,1996,354.8848277350116
RGI60-13.09998,1997,-159.98749835972103
