RGI_ID,Calibration_Method,MB_Geodetic,Temp_Bias,Prcp_Fac,melt_f,reference_period,Calibration_Success,MB_Model
RGI60-13.40706,geodetic_temp_bias,253.1,-4.810289554466538,8.10911036819189,1.611020621095421,2000-01-01_2020-01-01,True,
RGI60-13.40707,geodetic_temp_bias,333.7,-4.810289554466538,8.10911036819189,3.6747272950145193,2000-01-01_2020-01-01,True,
RGI60-13.40708,geodetic_temp_bias,199.8,-4.810289554466538,8.10911036819189,2.3039423771824743,2000-01-01_2020-01-01,True,
RGI60-13.40709,geodetic_temp_bias,256.7,-4.810289554466538,6.205744426316333,5.0,2000-01-01_2020-01-01,True,
RGI60-13.40710,geodetic_temp_bias,73.1,-4.810289554466538,8.10911036819189,2.0595685385652294,2000-01-01_2020-01-01,True,
RGI60-13.40711,geodetic_temp_bias,85.8,-4.810289554466538,8.10911036819189,2.256780674834926,2000-01-01_2020-01-01,True,
RGI60-13.40712,geodetic_temp_bias,92.0,-4.810289554466538,8.10911036819189,1.6952592169361103,2000-01-01_2020-01-01,True,
RGI60-13.40713,geodetic_temp_bias,233.0,-5.0739098489530745,8.10911036819189,1.5,2000-01-01_2020-01-01,True,
RGI60-13.40714,geodetic_temp_bias,45.900000000000006,-3.728627907271812,5.406073578794595,17.0,2000-01-01_2020-01-01,True,
RGI60-13.40715,geodetic_temp_bias,213.79999999999998,-5.153597015473837,8.10911036819189,1.5,2000-01-01_2020-01-01,True,
RGI60-13.40716,geodetic_temp_bias,269.4,-5.970160368230812,8.10911036819189,1.5,2000-01-01_2020-01-01,True,
RGI60-13.40717,geodetic_temp_bias,419.9,-6.925258595562661,8.10911036819189,1.5,2000-01-01_2020-01-01,True,
RGI60-13.40718,geodetic_temp_bias,214.60000000000002,-5.083344544744825,8.10911036819189,1.5,2000-01-01_2020-01-01,True,
RGI60-13.40719,geodetic_temp_bias,156.20000000000002,-3.923550340464508,7.6779159549270615,1.7200354448310282,2000-01-01_2020-01-01,True,
RGI60-13.40720,geodetic_temp_bias,265.90000000000003,-3.9327902930384426,7.6779159549270615,1.5,2000-01-01_2020-01-01,True,
RGI60-13.40721,geodetic_temp_bias,278.5,-3.923550340464508,7.6779159549270615,4.927054210060367,2000-01-01_2020-01-01,True,
