RGI_ID,Year,Specific_MB
RGI60-13.44970,1901,-109.33780140258091
RGI60-13.44970,1902,-315.44989517414064
RGI60-13.44970,1903,152.52982646111468
RGI60-13.44970,1904,-1043.7426869200021
RGI60-13.44970,1905,-723.59295207477
RGI60-13.44970,1906,-1094.2550731661865
RGI60-13.44970,1907,-133.7499474980473
RGI60-13.44970,1908,-497.0408885232726
RGI60-13.44970,1909,-1323.453957001534
RGI60-13.44970,1910,-895.684799046827
RGI60-13.44970,1911,-39.49810871699253
RGI60-13.44970,1912,-309.08392784826304
RGI60-13.44970,1913,21.21466308401433
RGI60-13.44970,1914,-506.2389483318944
RGI60-13.44970,1915,-1421.604210528861
RGI60-13.44970,1916,-1043.9948656734455
RGI60-13.44970,1917,-917.5682816043109
RGI60-13.44970,1918,-1135.1598819735416
RGI60-13.44970,1919,348.3661368052083
RGI60-13.44970,1920,-581.6668777093269
RGI60-13.44970,1921,-463.61821185421684
RGI60-13.44970,1922,-1064.971617399744
RGI60-13.44970,1923,-1172.0143283707573
RGI60-13.44970,1924,-988.5359194935086
RGI60-13.44970,1925,120.91420821368338
RGI60-13.44970,1926,-47.951245995009245
RGI60-13.44970,1927,-493.1181923300628
RGI60-13.44970,1928,-177.60090213453884
RGI60-13.44970,1929,-180.57109332175997
RGI60-13.44970,1930,465.4361329787095
RGI60-13.44970,1931,-632.8385498409646
RGI60-13.44970,1932,-12.419218283360646
RGI60-13.44970,1933,-1063.3345615324183
RGI60-13.44970,1934,-98.3955788984725
RGI60-13.44970,1935,-1192.615047783325
RGI60-13.44970,1936,-195.00722115215993
RGI60-13.44970,1937,56.452725644869986
RGI60-13.44970,1938,-63.164028756234266
RGI60-13.44970,1939,-546.7403024800769
RGI60-13.44970,1940,-840.14303968066
RGI60-13.44970,1941,-485.1377827184606
RGI60-13.44970,1942,831.0276387454655
RGI60-13.44970,1943,-1286.7289826275187
RGI60-13.44970,1944,-1243.2466800668908
RGI60-13.44970,1945,-1614.1146574389766
RGI60-13.44970,1946,313.4395807059328
RGI60-13.44970,1947,-210.45629069004315
RGI60-13.44970,1948,-1074.5150828939873
RGI60-13.44970,1949,-375.61273861056907
RGI60-13.44970,1950,-1109.6104969489418
RGI60-13.44970,1951,-797.3123315609384
RGI60-13.44970,1952,-494.624692163755
RGI60-13.44970,1953,-606.0632477706831
RGI60-13.44970,1954,141.67558448476106
RGI60-13.44970,1955,-904.9349119575235
RGI60-13.44970,1956,-257.4492164969776
RGI60-13.44970,1957,-675.4409994406316
RGI60-13.44970,1958,438.5064112991526
RGI60-13.44970,1959,62.361386224152966
RGI60-13.44970,1960,31.879688962377397
RGI60-13.44970,1961,-194.36681408842446
RGI60-13.44970,1962,-1453.2581583510196
RGI60-13.44970,1963,-604.549140515826
RGI60-13.44970,1964,-597.2217165325884
RGI60-13.44970,1965,-1212.8019024532125
RGI60-13.44970,1966,-932.8504387887442
RGI60-13.44970,1967,-480.7126008035012
RGI60-13.44970,1968,-1021.0289359542452
RGI60-13.44970,1969,-65.89583825666573
RGI60-13.44970,1970,-475.2651098445631
RGI60-13.44970,1971,-341.01579384967386
RGI60-13.44970,1972,-125.44274732692315
RGI60-13.44970,1973,-986.1746409133516
RGI60-13.44970,1974,-1550.7485732116731
RGI60-13.44970,1975,-847.5775689575262
RGI60-13.44970,1976,-230.0512786263653
RGI60-13.44970,1977,-1245.973840895032
RGI60-13.44970,1978,-411.9900475681099
RGI60-13.44970,1979,180.32837847539457
RGI60-13.44970,1980,-518.3221297248544
RGI60-13.44970,1981,-616.0147228595324
RGI60-13.44970,1982,-440.18154357883304
RGI60-13.44970,1983,-514.0209857939665
RGI60-13.44970,1984,-126.56175451890437
RGI60-13.44970,1985,-571.1725173672279
RGI60-13.44970,1986,-451.20777861992286
RGI60-13.44970,1987,-563.3424870058723
RGI60-13.44970,1988,153.0447754888852
RGI60-13.44970,1989,-20.74501465671926
RGI60-13.44970,1990,-638.3064098758273
RGI60-13.44970,1991,-979.1391331970079
RGI60-13.44970,1992,123.1892005595346
RGI60-13.44970,1993,305.1086748279886
RGI60-13.44970,1994,-397.2479263233693
RGI60-13.44970,1995,-828.1617840098321
RGI60-13.44970,1996,-443.55439961657623
RGI60-13.44970,1997,-1023.9656915043902
RGI60-13.44970,1998,-1105.6755764467528
RGI60-13.44970,1999,-833.068023507603
RGI60-13.44970,2000,-724.7115294857261
RGI60-13.44970,2001,-1463.9758612450507
RGI60-13.44970,2002,-1137.595256714879
RGI60-13.44970,2003,-238.508390446657
RGI60-13.44970,2004,-896.8014635742321
RGI60-13.44970,2005,-1055.9786487343422
RGI60-13.44970,2006,-1230.058967678464
RGI60-13.44970,2007,-1073.9219950355612
RGI60-13.44970,2008,-1670.6658557524065
RGI60-13.44970,2009,-335.4020110236846
RGI60-13.44970,2010,-998.7058736780115
RGI60-13.44970,2011,-1298.1154493467993
RGI60-13.44970,2012,-1306.8156679738431
RGI60-13.44970,2013,-582.3742867552697
RGI60-13.44970,2014,-636.0852808854634
RGI60-13.44970,2015,-698.8525151646177
RGI60-13.44970,2016,-1311.5130986151892
RGI60-13.44970,2017,-1200.2751512937887
RGI60-13.44970,2018,-1085.952851178208
RGI60-13.44970,2019,-847.6898454178446
RGI60-13.45264,1901,112.28021236387876
RGI60-13.45264,1902,188.17873750507863
RGI60-13.45264,1903,365.6836432579225
RGI60-13.45264,1904,-929.1330638668062
RGI60-13.45264,1905,-608.673306239801
RGI60-13.45264,1906,-1052.1467000246055
RGI60-13.45264,1907,242.44082026389557
RGI60-13.45264,1908,-183.50096893830062
RGI60-13.45264,1909,-1220.1819661018244
RGI60-13.45264,1910,-740.502572334443
RGI60-13.45264,1911,342.89556213036883
RGI60-13.45264,1912,-209.54140557365722
RGI60-13.45264,1913,295.95384660602366
RGI60-13.45264,1914,-182.57319360916398
RGI60-13.45264,1915,-1262.0193722809965
RGI60-13.45264,1916,-856.7985464799434
RGI60-13.45264,1917,-771.4509717201038
RGI60-13.45264,1918,-864.6384516435954
RGI60-13.45264,1919,961.4226792134878
RGI60-13.45264,1920,-208.91532078063247
RGI60-13.45264,1921,-177.76781015821305
RGI60-13.45264,1922,-960.4802200265103
RGI60-13.45264,1923,-831.1710932856417
RGI60-13.45264,1924,-708.431167281392
RGI60-13.45264,1925,482.3804205705088
RGI60-13.45264,1926,242.16626598157185
RGI60-13.45264,1927,-85.99376418210979
RGI60-13.45264,1928,189.5199880554965
RGI60-13.45264,1929,185.3519883276787
RGI60-13.45264,1930,841.3162487433083
RGI60-13.45264,1931,-130.2840628580259
RGI60-13.45264,1932,158.65240966747984
RGI60-13.45264,1933,-773.4396514987023
RGI60-13.45264,1934,65.53608674207118
RGI60-13.45264,1935,-841.2135254624602
RGI60-13.45264,1936,-34.63020637648351
RGI60-13.45264,1937,302.4424741030764
RGI60-13.45264,1938,271.7036438213883
RGI60-13.45264,1939,-183.2868481134828
RGI60-13.45264,1940,-400.5875489295816
RGI60-13.45264,1941,-77.42607049259797
RGI60-13.45264,1942,1872.2730481668177
RGI60-13.45264,1943,-987.7900787758638
RGI60-13.45264,1944,-925.1689072340494
RGI60-13.45264,1945,-1310.7756208723395
RGI60-13.45264,1946,647.2610294258559
