RGI_ID,Calibration_Method,MB_Geodetic,Temp_Bias,Prcp_Fac,melt_f,reference_period,Calibration_Success
RGI60-13.44970,geodetic_temp_bias,-989.7,-1.8204893201270824,4.131658622019379,6.04194819185329,2000-01-01_2020-01-01,True
RGI60-13.45264,geodetic_temp_bias,-464.1,-2.1626898315564644,5.768155357760322,4.915313830097526,2000-01-01_2020-01-01,True
RGI60-13.45286,geodetic_temp_bias,15.9,-1.8204893201270824,4.279959445615439,5.0,2000-01-01_2020-01-01,True
RGI60-13.45287,geodetic_temp_bias,-935.4,-1.8204893201270824,4.464956632454988,5.0,2000-01-01_2020-01-01,True
RGI60-13.45288,geodetic_temp_bias,-1074.5,-2.1626898315564644,3.8454369051735484,6.594089792547778,2000-01-01_2020-01-01,True
RGI60-13.45289,geodetic_temp_bias,-494.90000000000003,-2.1626898315564644,5.768155357760322,4.854610551721566,2000-01-01_2020-01-01,True
RGI60-13.45290,geodetic_temp_bias,-271.9,-2.1626898315564644,5.768155357760322,3.519295587974073,2000-01-01_2020-01-01,True
RGI60-13.45291,geodetic_temp_bias,-343.5,-2.1626898315564644,4.949181272609094,5.0,2000-01-01_2020-01-01,True
RGI60-13.45292,geodetic_temp_bias,-713.1999999999999,-2.1626898315564644,3.8454369051735484,5.884644327471916,2000-01-01_2020-01-01,True
RGI60-13.45293,geodetic_temp_bias,373.2,-2.1626898315564644,5.768155357760322,3.0962401210108292,2000-01-01_2020-01-01,True
RGI60-13.45294,geodetic_temp_bias,7.6,-2.1626898315564644,5.480187176455483,5.0,2000-01-01_2020-01-01,True
RGI60-13.45295,geodetic_temp_bias,-988.7,-2.1626898315564644,3.8454369051735484,5.735909048693044,2000-01-01_2020-01-01,True
RGI60-13.45296,geodetic_temp_bias,-645.4,-2.1626898315564644,3.8454369051735484,5.026177422557485,2000-01-01_2020-01-01,True
RGI60-13.45297,geodetic_temp_bias,157.5,-2.1626898315564644,3.8454369051735484,5.440070492549495,2000-01-01_2020-01-01,True
RGI60-13.45298,geodetic_temp_bias,-373.40000000000003,-2.1626898315564644,5.768155357760322,3.087938597228484,2000-01-01_2020-01-01,True
RGI60-13.45299,geodetic_temp_bias,327.7,-2.1626898315564644,5.768155357760322,2.3428631347450475,2000-01-01_2020-01-01,True
RGI60-13.45300,geodetic_temp_bias,-239.0,-2.1626898315564644,5.768155357760322,3.0806996385308216,2000-01-01_2020-01-01,True
RGI60-13.45301,geodetic_temp_bias,-869.0,-2.1626898315564644,3.8454369051735484,6.345639992518596,2000-01-01_2020-01-01,True
RGI60-13.45302,geodetic_temp_bias,-1143.1,-2.1626898315564644,3.8454369051735484,5.590115297920399,2000-01-01_2020-01-01,True
RGI60-13.45303,geodetic_temp_bias,-383.5,-2.1626898315564644,5.768155357760322,4.166816722042297,2000-01-01_2020-01-01,True
RGI60-13.45304,geodetic_temp_bias,-165.5,-2.1626898315564644,5.768155357760322,3.9098298094375172,2000-01-01_2020-01-01,True
RGI60-13.45305,geodetic_temp_bias,-633.8000000000001,-2.1626898315564644,5.5397559914975725,5.0,2000-01-01_2020-01-01,True
RGI60-13.45306,geodetic_temp_bias,-351.7,-2.1626898315564644,4.650938199722986,5.0,2000-01-01_2020-01-01,True
RGI60-13.45307,geodetic_temp_bias,-204.65888913841167,-2.1626898315564644,5.768155357760322,3.971100148778977,2000-01-01_2020-01-01,True
RGI60-13.45308,geodetic_temp_bias,-1179.2,-2.1626898315564644,3.8454369051735484,5.665731177621289,2000-01-01_2020-01-01,True
