RGI_ID,Year,Specific_MB
RGI60-13.29684,1901,1190.1969160667047
RGI60-13.29684,1902,630.2197653932387
RGI60-13.29684,1903,915.3212352560548
RGI60-13.29684,1904,-85.28499669290487
RGI60-13.29684,1905,34.88626685923772
RGI60-13.29684,1906,-230.42290306559576
RGI60-13.29684,1907,715.9139953025303
RGI60-13.29684,1908,260.10101645016175
RGI60-13.29684,1909,-395.3041876229253
RGI60-13.29684,1910,-241.70119543579003
RGI60-13.29684,1911,686.5746866631875
RGI60-13.29684,1912,371.1789057841778
RGI60-13.29684,1913,528.1469541392929
RGI60-13.29684,1914,95.36336335265841
RGI60-13.29684,1915,-510.24361770924776
RGI60-13.29684,1916,-281.83176638735017
RGI60-13.29684,1917,-335.50559816927887
RGI60-13.29684,1918,-515.9209383309477
RGI60-13.29684,1919,486.08816805506575
RGI60-13.29684,1920,312.02698368609623
RGI60-13.29684,1921,156.4400018326102
RGI60-13.29684,1922,-341.1750824360753
RGI60-13.29684,1923,-606.6134833519374
RGI60-13.29684,1924,-590.9647179087943
RGI60-13.29684,1925,293.72486997753225
RGI60-13.29684,1926,245.7754091868232
RGI60-13.29684,1927,-145.37518223033692
RGI60-13.29684,1928,202.33600206537162
RGI60-13.29684,1929,365.33294524833855
RGI60-13.29684,1930,811.048427153224
RGI60-13.29684,1931,-264.33785477376074
RGI60-13.29684,1932,420.6550278410613
RGI60-13.29684,1933,-365.34916877561955
RGI60-13.29684,1934,733.0287490650808
RGI60-13.29684,1935,-454.91818977388886
RGI60-13.29684,1936,442.5349090999702
RGI60-13.29684,1937,475.1329955546508
RGI60-13.29684,1938,85.65488069237846
RGI60-13.29684,1939,-476.5759103412531
RGI60-13.29684,1940,-577.6257503888112
RGI60-13.29684,1941,253.25946619237317
RGI60-13.29684,1942,1497.0894986829908
RGI60-13.29684,1943,-846.3048624520891
RGI60-13.29684,1944,-685.3491306960842
RGI60-13.29684,1945,-827.922525231989
RGI60-13.29684,1946,865.3017325716655
RGI60-13.29684,1947,268.9428251394588
RGI60-13.29684,1948,-523.7721150239713
RGI60-13.29684,1949,354.3686210377138
RGI60-13.29684,1950,-527.3250833731144
RGI60-13.29684,1951,-135.11147123735174
RGI60-13.29684,1952,-297.57455889132524
RGI60-13.29684,1953,-325.65985194173146
RGI60-13.29684,1954,848.3826921053374
RGI60-13.29684,1955,-418.61414805654937
RGI60-13.29684,1956,198.6237676038195
