Year,MC_mean_width,MC_q25_width,MC_q50_width,MC_q75_width,POST_mean_width,POST_q25_width,POST_q50_width,POST_q75_width,Reduction_mean_%
1980,65.60244365087352,45.37281255978942,63.06906895828348,87.64068760823943,83.38930456241037,52.903896627665716,73.38305096247359,98.50638125668851,-27.113107258922575
1981,88.24189342331367,63.16793844903262,86.16121104427145,112.75977601971661,106.08491850994679,73.9467113398866,99.16773127768039,126.58915548852455,-20.22058275771059
1982,65.02999703745662,49.32463184521336,63.95839816284996,78.77985690063804,82.57404998429088,57.67335161934692,75.24132179354513,89.94317125047732,-26.97840034765462
1983,60.30234719367024,40.32825786937502,56.762981638455926,81.91085633883918,77.63443159177194,47.69853382063883,65.80237929745749,92.52343967081697,-28.74197308180353
1984,61.72567497143522,40.36476009035832,57.937902554524555,83.70142522449493,81.32687144057891,48.18103636878624,66.76389592255896,94.79047851401981,-31.755337593656474
1985,61.482229207648835,36.52955403987542,53.54456339227738,85.60101975830827,77.1879527705234,43.82507097506752,62.57045726227415,96.67960286215146,-25.54514331259705
1986,48.86716825644167,29.76376050179607,45.14224219210968,67.39866969811692,64.33130637231227,35.271382832449376,52.44508038136246,75.93750460089223,-31.64525113204364
1987,103.86434142603228,74.06827135599606,97.67837659649439,134.72009960522962,123.41535272743705,88.04898639499342,113.16004982039954,147.72005949123462,-18.823603012326394
1988,87.2189096538484,70.83013850281444,88.04876009785815,102.54352708847549,106.9323089743729,82.73651699177103,101.76906600597022,119.05576056339582,-22.602207937202135
1989,70.46415561182958,53.21188201054612,67.82634032327437,86.81216310297438,86.13133408041155,62.32812625931803,79.19662597500064,97.61510850418102,-22.234252766594608
1990,65.76394201647956,40.759646305242256,58.88927462677259,88.99932125371558,85.53679470240826,48.623252464300805,68.68590441062861,101.83356729471818,-30.06640429336276
1991,76.76078683080112,58.129375183960775,74.13462474557184,94.52395384652644,96.01146282240812,67.8435877915715,86.5453892876877,107.0631469216795,-25.07878929646563
1992,85.37729283435662,67.18880204732343,83.04232377643291,105.13164119514516,102.49670381774857,76.68956669259603,95.32690358751665,118.17336565455825,-20.05148021805365
1993,97.3253185036684,58.92635921884197,88.61971576558629,139.5955243494714,117.47616269779114,70.89536533003721,102.42137645249088,153.07618101918814,-20.70462702196245
1994,55.79968322428782,35.71140899560913,51.51546922119053,76.76891384312299,73.9417327088459,41.74614203501437,60.219820393360806,86.98708781938092,-32.51281805961956
1995,60.816724980509754,45.218891696406274,57.13269921366498,75.07208214497226,80.01861824963432,53.38814043645978,67.63448672066461,85.59196022683432,-31.573376033117494
1996,88.70198609967467,65.44829527967104,85.11348171185303,113.22108912988821,106.78835371838176,76.95864698317389,98.01189223838975,124.56711908521912,-20.390036812007995
1997,62.99059345712553,47.63699786188738,60.034650568207354,76.43266922081608,85.19269265310847,56.18963383580285,70.8914815531947,88.72558953148743,-35.246689985693536
1998,90.02729646243867,56.55385947984621,81.99837850698566,122.18100963961649,109.9671933256631,67.71426329712637,96.13877098840828,137.54993879065378,-22.148723383626855
1999,69.82217087026157,51.20846911055412,69.50710625995879,88.71524068093831,89.84438268752744,60.27614685749313,80.15316567173562,101.75648489319498,-28.676008734343704
2000,65.10173781754018,41.60632955432985,59.88508960471199,89.48882144932836,84.95234391292463,49.83720021934704,69.98306973614353,100.96428556374525,-30.49166851892371
2001,73.6617562765295,47.05116232320188,67.22737030220571,95.46301520301387,95.0831949515401,55.71009356214904,79.48800154504875,112.65197185601244,-29.08081446577553
2002,84.38780240605784,55.87810721779323,83.3765566967773,112.35954220945597,103.38332816131866,67.79175227471,94.54308613059621,126.0571591652681,-22.509800247975154
2003,101.87273504860674,72.70214530798668,100.19945026295414,129.02041924373023,122.32017699397343,85.90636502403711,112.77239425140965,145.43795276620023,-20.071554901916944
2004,76.86910587123319,51.210263059587476,73.79772666854126,101.33979250492277,95.96828217765733,61.433462161990775,84.38810180023756,114.277444317027,-24.846361994136856
2005,64.73380261170055,46.200739161592594,59.19959867322768,80.53588930672679,86.45867805245801,54.85471414838321,70.60246812101337,92.69659578145473,-33.56032638939921
2006,58.68702355695834,39.50021810897914,52.85403346893693,76.04366204955699,80.3392716233473,46.784528105740776,61.90505930614279,87.22337604442333,-36.89443893056381
2007,58.68655190284547,33.95065369467119,53.13421697370734,81.15105641318098,79.00397908666706,41.23874906704242,62.20918264922102,93.61330849385038,-34.62024352266491
2008,55.245937048561636,33.876678023964644,47.642144143226005,73.10803424552785,83.42352886133915,40.31790760839101,56.6692312996156,85.5765841651928,-51.00391688172048
2009,65.81142752977257,44.56470476081262,63.94097755059863,86.87295240861897,82.75094464499074,51.59672893433094,74.32839267523326,98.12902748866536,-25.739476791555106
2010,90.86473886585223,64.4004015772513,87.7132945289676,116.64746762020259,110.79400254342137,76.58792658176742,100.7333559134695,131.70595402273395,-21.93289049891005
2011,64.4702195240687,42.73691693319037,59.731599104645625,82.83375482284515,87.06193367369575,51.097710699630454,69.63709286651687,96.5507605156377,-35.04209279323383
