Statistic,MC_width,POST_width,Reduction_%,N_glaciers,Basin,Period
Mean,29.325600066751313,37.00288908305082,-26.179477994731904,869,MonteCarloTest-yrq,1980-2020
Median,29.367670483720634,36.1802135979861,-23.197424249365085,869,MonteCarloTest-yrq,1980-2020
25th percentile,23.757568935592737,30.445959928190263,-28.152674251850485,869,MonteCarloTest-yrq,1980-2020
75th percentile,33.75752760283695,41.496885739209915,-22.92631802727556,869,MonteCarloTest-yrq,1980-2020
Min,14.941311664651419,17.946547820330004,-20.11360329754219,869,MonteCarloTest-yrq,1980-2020
Max,52.06478359083055,342.4459163820782,-557.7304134658535,869,MonteCarloTest-yrq,1980-2020
