Statistic,MC_width,POST_width,Reduction_%,N_glaciers,Basin,Period
Mean,21.06540400685016,26.940054763092252,-27.887671911397803,3895,MonteCarloTest-ht,1980-2020
Median,19.15716577514437,24.61349681872481,-28.48193259703644,3895,MonteCarloTest-ht,1980-2020
25th percentile,17.51936959268589,22.070754187742136,-25.979157360520166,3895,MonteCarloTest-ht,1980-2020
75th percentile,21.807367759294486,28.749183721246204,-31.832434058859494,3895,MonteCarloTest-ht,1980-2020
Min,11.631318782235208,14.22897178381503,-22.333262893164417,3895,MonteCarloTest-ht,1980-2020
Max,51.09751557570934,75.32536404397379,-47.41492457175429,3895,MonteCarloTest-ht,1980-2020
