Statistic,MC_width,POST_width,Reduction_%,N_glaciers,Basin,Period
Mean,54.87044846028681,70.81470212689936,-29.05799772741262,85,MonteCarloTest-by,1980-2020
Median,57.065304712696744,69.57425075678641,-21.920405239341978,85,MonteCarloTest-by,1980-2020
25th percentile,45.176016608180035,52.93053094686553,-17.16511308631008,85,MonteCarloTest-by,1980-2020
75th percentile,64.77230115855563,82.32348619069924,-27.096744624185764,85,MonteCarloTest-by,1980-2020
Min,24.844549125845106,26.540724648341104,-6.827153569595068,85,MonteCarloTest-by,1980-2020
Max,84.89952429129299,348.6447992021177,-310.65577470835075,85,MonteCarloTest-by,1980-2020
