RGI_ID,Corr_TempBias_MB,Corr_PrcpFac_MB,Mean_MB_Mean,Mean_MB_Std
RGI60-13.29877,-0.07380614270790348,0.9913351137047768,-983.0983742835331,16.24291217277634
RGI60-13.29878,-0.07301504988253515,0.989066295374701,-717.6906269247709,15.79040138064101
RGI60-13.29880,-0.07865946067763104,0.9932739768827828,-720.391826240179,18.619227445117748
RGI60-13.29901,-0.04758112951726505,0.9851925753372829,-459.7897662497872,10.919670270922685
RGI60-13.29906,-0.14945482064248522,0.9954379806105412,-541.4016435140874,20.617651575782318
RGI60-13.29919,-0.19750647489985537,0.993425175114279,-707.3868919254215,17.364601372567126
RGI60-13.30108,-0.09047250585684496,0.9916011976220231,-517.7123115254801,15.297775560016628
RGI60-13.30120,-0.043127263115009,0.9876503038727803,-565.7188268208819,13.54013316155214
RGI60-13.30133,-0.1996661078954607,0.9894318787417896,-618.855110126127,14.46305779172678
RGI60-13.30136,-0.13834902262520163,0.9922311070840144,-683.6250433606822,14.870231921440555
RGI60-13.30207,-0.11944193030113673,0.9936898984773653,-401.29447519186493,17.505381071671255
RGI60-13.44129,-0.2374257175245262,0.994494774837772,214.38332946874908,20.128415942150387
RGI60-13.44130,-0.10512271387758979,0.9938749053983218,-217.31495185574684,18.92433156522587
RGI60-13.44134,-0.005905381767071598,0.9956325313479352,-304.67546350894116,20.570960115908584
RGI60-13.44136,-0.11668452215619618,0.9945455924509151,-150.867165113178,19.9453437176774
RGI60-13.44143,-0.2352438060644419,0.9934801838147307,-496.2349684823709,17.62194259566567
RGI60-13.44144,-0.1553036588312916,0.9925352233529109,-7.204784830038951,18.470281412901095
RGI60-13.44148,-0.06457722147269619,0.9801548431945944,-330.5411053681236,10.39117774905577
RGI60-13.44150,-0.06122393364294132,0.9842299714872619,-423.2650657306139,11.615426729494034
RGI60-13.44159,0.014687844213508511,0.9775430889142979,-672.2054526319365,9.62939904979408
RGI60-13.44160,-0.013370935123772824,0.9787098064620408,-728.8607985734695,9.456726356091268
RGI60-13.44161,0.024240612311431122,0.9955368213762394,-506.91661427549366,19.557798730920755
RGI60-13.44190,-0.1852045067691302,0.9926905646251147,-690.7298660782208,15.953821822793781
RGI60-13.44196,-0.1136637051429151,0.9928230116611024,-480.20643397625315,16.06183842696893
RGI60-13.44212,-0.013400049138656623,0.9951424369047268,-356.0394424981903,20.872618387034198
RGI60-13.44217,-0.21929424028810704,0.9963396849224618,-260.89173586660394,21.690538203464527
RGI60-13.44221,-0.09371269245956369,0.9952088580868661,-490.2295904954724,21.761819816053713
RGI60-13.44232,-0.19654133948347557,0.9947377971674513,-434.9318903994611,20.622291831661887
RGI60-13.44235,-0.07496089188328824,0.9933564140192613,-1255.684852144573,17.026840607799432
