Statistic,MC_width,POST_width,Reduction_%,N_glaciers,Basin,Period
Mean,84.53340321993775,101.44582951111906,-20.006796895633805,1602,MonteCarloTest-aks,1980-2020
Median,77.30995631768297,86.2411088844631,-11.552396343465809,1602,MonteCarloTest-aks,1980-2020
25th percentile,63.97339900311861,70.10961266320146,-9.591820593716815,1602,MonteCarloTest-aks,1980-2020
75th percentile,102.95112737326289,115.53459211833659,-12.22275565710862,1602,MonteCarloTest-aks,1980-2020
Min,33.3453408251497,39.236263877185266,-17.666405279598596,1602,MonteCarloTest-aks,1980-2020
Max,170.78954680396504,1088.496729536097,-537.332172785425,1602,MonteCarloTest-aks,1980-2020
