Statistic,MC_width,POST_width,Reduction_%,N_glaciers,Basin,Period
Mean,45.51452999603651,55.519424511193876,-21.98175948653627,649,MonteCarloTest-kd,1980-2020
Median,44.294686217664584,53.62608809723122,-21.06663953710115,649,MonteCarloTest-kd,1980-2020
25th percentile,36.56361690789654,43.82461755316251,-19.85854042710047,649,MonteCarloTest-kd,1980-2020
75th percentile,52.70492663621078,65.00330893307792,-23.33440739184396,649,MonteCarloTest-kd,1980-2020
Min,19.82291669770373,22.85257849516541,-15.283632795629343,649,MonteCarloTest-kd,1980-2020
Max,99.33660999258514,119.13112359485392,-19.926705374529206,649,MonteCarloTest-kd,1980-2020
