Statistic,MC_width,POST_width,Reduction_%,N_glaciers,Basin,Period
Mean,57.025060390963006,67.43820713969772,-18.260650102500797,122,MonteCarloTest-wlmq,1980-2020
Median,56.104648869445526,66.76119415223634,-18.99405039961519,122,MonteCarloTest-wlmq,1980-2020
25th percentile,51.638776255825405,56.26542053917687,-8.959631925492118,122,MonteCarloTest-wlmq,1980-2020
75th percentile,61.597579558089116,76.17338848796129,-23.662957269490327,122,MonteCarloTest-wlmq,1980-2020
Min,40.10000945236148,43.44318779455672,-8.33710113252173,122,MonteCarloTest-wlmq,1980-2020
Max,87.01217737117736,109.90638262602656,-26.31149563949611,122,MonteCarloTest-wlmq,1980-2020
