Statistic,MC_width,POST_width,Reduction_%,N_glaciers,Basin,Period
Mean,73.43681032121664,93.42156259849351,-27.213535269112587,763,MonteCarloTest-wg,1980-2020
Median,69.13172866463087,80.0144324740983,-15.741981315497,763,MonteCarloTest-wg,1980-2020
25th percentile,50.99937331003662,60.39778519165045,-18.428485041330987,763,MonteCarloTest-wg,1980-2020
75th percentile,95.7206989778612,108.53494298202384,-13.387119129923253,763,MonteCarloTest-wg,1980-2020
Min,16.943387338651927,22.121406805023593,-30.5607099860018,763,MonteCarloTest-wg,1980-2020
Max,152.57759732530604,1068.2608409737732,-600.14265508203,763,MonteCarloTest-wg,1980-2020
