Statistic,MC_width,POST_width,Reduction_%,N_glaciers,Basin,Period
Mean,58.127208399901356,70.26976901972112,-20.889633192567292,810,MonteCarloTest-mns,1980-2020
Median,57.7056293068111,67.78675849083572,-17.46992330752306,810,MonteCarloTest-mns,1980-2020
25th percentile,49.80531808173657,56.637575931208374,-13.717928351061026,810,MonteCarloTest-mns,1980-2020
75th percentile,66.44464103351466,81.47817895112811,-22.62565902046085,810,MonteCarloTest-mns,1980-2020
Min,29.92104860391958,29.953732721479888,-0.10923453249238602,810,MonteCarloTest-mns,1980-2020
Max,95.83954324789568,236.6017124945481,-146.87274633869944,810,MonteCarloTest-mns,1980-2020
