RGI_ID,MC_width_mean_1980_2020,POST_width_mean_1980_2020,POST/MC_ratio,Reduction_%,n_years_used
RGI60-13.00003,45.3943577151494,43.460093259160274,0.9573897604603718,4.261023953962817,40
RGI60-13.00004,46.57229954094263,48.16568310577746,1.034213117680243,-3.4213117680242933,40
RGI60-13.00005,41.626394970866876,49.60146620004353,1.1915868821875395,-19.15868821875395,40
RGI60-13.00006,46.756438160234666,51.724232927766835,1.1062483577236228,-10.624835772362285,40
RGI60-13.00007,39.52403087143709,55.487810240221805,1.40390058950996,-40.39005895099601,40
RGI60-13.00008,42.66454587564628,65.63380236073206,1.538368709045501,-53.836870904550096,40
RGI60-13.00009,38.10936812133843,44.36880863827326,1.1642493913046237,-16.42493913046237,40
RGI60-13.00010,40.71227651247337,47.77418849177199,1.17345902966477,-17.345902966477,40
RGI60-13.00011,46.55462212712283,51.067048630960564,1.0969275723367473,-9.692757233674731,40
RGI60-13.00012,28.29109687046101,40.67125335656375,1.4375990278067847,-43.75990278067847,40
RGI60-13.00013,33.46360843860054,36.37546589513077,1.0870156445283496,-8.701564452834965,40
RGI60-13.00014,32.3670835443366,41.48308907826892,1.281644329228609,-28.164432922860904,40
RGI60-13.00015,30.89799425676991,37.414922424488054,1.210917515019249,-21.091751501924904,40
RGI60-13.00016,29.1807375461862,39.71396454621363,1.360965070994332,-36.0965070994332,40
RGI60-13.00017,32.83098768082267,36.64753967011201,1.116248467039496,-11.62484670394961,40
RGI60-13.00018,28.370085250790602,35.16643903859942,1.23956056979484,-23.956056979483996,40
RGI60-13.00019,34.81086706675468,49.90125302438584,1.4334964115858362,-43.349641158583616,40
RGI60-13.00020,29.25784643943688,39.64925670872101,1.3551666145624484,-35.51666145624483,40
RGI60-13.00021,34.37507732478634,43.262672396316944,1.2585476386731178,-25.85476386731178,40
RGI60-13.00022,27.089159060552173,35.53710623018303,1.3118571215424562,-31.185712154245614,40
RGI60-13.00023,30.615889329877312,48.656017252102316,1.5892406955044251,-58.92406955044252,40
RGI60-13.00024,35.822280817667384,43.09723126013127,1.2030845126666168,-20.308451266661677,40
RGI60-13.00025,33.177487026843224,37.55997500944962,1.1320922220257215,-13.209222202572146,40
RGI60-13.00026,28.919163868402812,45.18120899824952,1.5623276386497853,-56.23276386497853,40
RGI60-13.00027,33.32931020496066,40.27095896944031,1.208274600397978,-20.827460039797806,40
RGI60-13.00028,34.2830019419979,45.673240313282214,1.332241569467974,-33.22415694679739,40
RGI60-13.00029,30.345997896436103,40.37376523497748,1.330447770172611,-33.0447770172611,40
RGI60-13.00030,33.04279594299811,38.203171709319776,1.1561724914327054,-15.61724914327054,40
RGI60-13.00031,37.763501710804476,63.427371485841775,1.679594545325042,-67.95945453250421,40
RGI60-13.00032,30.457726392787908,35.71864359693924,1.1727284937918379,-17.272849379183786,40
RGI60-13.00033,33.60401716262867,38.50268473977051,1.1457762491143035,-14.577624911430354,40
RGI60-13.00034,29.17208611303143,47.4973823723833,1.6281791500390563,-62.81791500390563,40
RGI60-13.00035,31.391152804747218,36.407823423486406,1.1598116083834733,-15.98116083834733,40
RGI60-13.00036,30.600973192816053,46.312434195572834,1.5134301090281574,-51.34301090281574,40
RGI60-13.00037,26.240710510848693,45.390576381880415,1.7297769571869201,-72.97769571869202,40
RGI60-13.00038,25.714785726168884,40.04961153842459,1.5574546086015482,-55.745460860154814,40
RGI60-13.00039,30.03450718229638,29.91375737151035,0.9959796306943168,0.4020369305683169,40
RGI60-13.00040,33.02300270157269,33.72557755414342,1.0212753170545648,-2.1275317054564757,40
RGI60-13.00041,27.63096648109306,32.006679052785614,1.1583626318205535,-15.836263182055355,40
RGI60-13.00042,27.189524411400374,35.48977091657924,1.3052736921612842,-30.52736921612842,40
RGI60-13.00043,31.491512507804185,35.34308012277378,1.1223049421336617,-12.230494213366171,40
RGI60-13.00044,29.408448702663993,36.672182704066884,1.2469948032567817,-24.69948032567817,40
RGI60-13.00045,29.46815059080992,35.97438102761579,1.2207885566742596,-22.078855667425955,40
RGI60-13.00046,33.26451721755817,39.65615887462247,1.1921459318125733,-19.214593181257335,40
RGI60-13.00047,26.673841598095294,34.11219829804134,1.2788633452961617,-27.886334529616175,40
RGI60-13.00048,31.361820284941217,36.22692768111815,1.1551283488003348,-15.512834880033477,40
RGI60-13.00049,31.490398521704453,45.92149912217863,1.4582698624955865,-45.82698624955866,40
RGI60-13.00050,25.622349159373307,30.230844886880597,1.1798623420062249,-17.986234200622487,40
RGI60-13.00051,33.36742622946284,36.626256213772486,1.0976650090389966,-9.766500903899654,40
RGI60-13.00052,27.49341187894047,37.98320774540397,1.3815385268533058,-38.15385268533058,40
RGI60-13.00053,25.15749416791857,34.180639416093456,1.3586662959334024,-35.866629593340235,40
RGI60-13.00054,33.438944540794104,39.30852681567512,1.1755313259878521,-17.553132598785215,40
RGI60-13.00055,27.143728070322254,37.757892596849935,1.39103561968451,-39.103561968451,40
RGI60-13.00056,29.862165103324845,39.043618861314485,1.3074610875072175,-30.746108750721746,40
RGI60-13.00057,27.719829204839776,31.048546073338457,1.1200843210071576,-12.00843210071576,40
RGI60-13.00058,27.708478057713677,37.60557332509464,1.3571865349935517,-35.71865349935517,40
RGI60-13.00059,37.68946817818892,50.76462656228121,1.3469180918731456,-34.69180918731456,40
RGI60-13.00060,30.897142538092726,36.11173799719376,1.1687727417728306,-16.877274177283063,40
RGI60-13.00061,29.949609513612085,34.81474847802837,1.162444153477324,-16.2444153477324,40
RGI60-13.00062,34.52674421633725,36.837224532139444,1.066918569017807,-6.691856901780691,40
RGI60-13.00063,28.883006801832067,31.03716578399996,1.074582227430358,-7.458222743035803,40
RGI60-13.00064,31.31471074424448,35.133669378512465,1.1219541405142557,-12.19541405142557,40
RGI60-13.00065,35.809080861085846,43.486250333738596,1.214391693057791,-21.439169305779092,40
RGI60-13.00066,30.81993822458154,34.91867410650647,1.1329897500785613,-13.298975007856129,40
RGI60-13.00067,29.97405116701544,37.10720511896789,1.2379776397993476,-23.79776397993476,40
RGI60-13.00068,26.96402807031106,32.01436373069704,1.1872990061876365,-18.72990061876365,40
RGI60-13.00069,31.990882730547195,33.18383909219495,1.0372905109150865,-3.7290510915086506,40
RGI60-13.00070,32.552053016646354,40.520037098784414,1.2447766989707891,-24.47766989707891,40
RGI60-13.00071,31.17143436212234,33.136627187865585,1.0630446710572345,-6.304467105723455,40
RGI60-13.00072,29.757609917452022,28.63853872964163,0.9623937812574441,3.7606218742555875,40
RGI60-13.00073,33.09553510350315,39.2443281516672,1.1857892017437726,-18.578920174377256,40
RGI60-13.00074,31.723706785731945,35.484377077418515,1.1185444789628698,-11.85444789628698,40
RGI60-13.00075,27.96026196977283,41.78785909412826,1.4945446197643864,-49.45446197643864,40
RGI60-13.00076,36.046314826765624,42.31833430859129,1.1739989097905592,-17.39989097905592,40
RGI60-13.00077,27.02591348026332,32.88473666871945,1.2167853897975933,-21.67853897975933,40
RGI60-13.00078,31.22711352846752,38.63972427324467,1.237377391221842,-23.7377391221842,40
RGI60-13.00079,28.76713500575903,41.87120405874583,1.4555222148594908,-45.55222148594908,40
RGI60-13.00080,28.241355949319377,33.61525666928818,1.1902847982799185,-19.028479827991852,40
RGI60-13.00081,38.780718707902636,39.744124259280774,1.024842385171701,-2.484238517170101,40
RGI60-13.00082,34.09538141474733,42.221031613024095,1.2383211409027066,-23.83211409027066,40
RGI60-13.00083,29.360593297550302,29.910843680740232,1.018741119350433,-1.8741119350432989,40
RGI60-13.00084,27.133373933046055,47.389173474135525,1.7465271215835767,-74.65271215835767,40
RGI60-13.00085,29.576099154116,41.05023933137449,1.387953127877592,-38.79531278775921,40
RGI60-13.00086,28.60124730182689,42.145649397456296,1.4735598399851182,-47.35598399851182,40
RGI60-13.00087,35.6843975077242,35.30020631034471,0.9892336364289935,1.0766363571006465,40
RGI60-13.00088,31.779494639120287,37.1266415342251,1.1682577698551995,-16.825776985519948,40
RGI60-13.00089,31.73515447492691,39.378162727246,1.2408372789978503,-24.083727899785035,40
RGI60-13.00090,30.386208833236196,36.54857201834794,1.2028013174967125,-20.28013174967125,40
RGI60-13.00091,28.350124174109453,33.46422940459748,1.1803909287690977,-18.03909287690977,40
RGI60-13.00092,36.71951536558186,44.83251192800081,1.220945088235621,-22.094508823562098,40
RGI60-13.00093,30.223747374058064,38.93254384828476,1.2881441657926385,-28.814416579263845,40
RGI60-13.00094,40.860670406342756,44.18660519979708,1.0813969707392994,-8.139697073929941,40
RGI60-13.00095,25.598137128344014,40.78125879549112,1.5931338515385058,-59.31338515385058,40
