RGI_ID,MC_width_mean_1980_2020,POST_width_mean_1980_2020,POST/MC_ratio,Reduction_%,n_years_used
RGI60-13.05000,110.95760787167887,103.00149977183136,0.9282959658877147,7.170403411228532,40
RGI60-13.30140,61.53890991705951,63.734018465893406,1.0356702540196334,-3.567025401963342,40
RGI60-13.30161,44.990272209568126,46.71285415756664,1.0382878756539538,-3.828787565395375,40
RGI60-13.30164,51.6032935461908,63.38896178136074,1.2283898454004532,-22.838984540045317,40
RGI60-13.30173,55.9907327720626,70.39540736676732,1.2572689065053795,-25.726890650537946,40
RGI60-13.30237,46.29904928449411,61.22572139301582,1.3223969463562923,-32.239694635629235,40
RGI60-13.30247,50.7223408062575,53.65383677692912,1.0577949661642767,-5.779496616427671,40
RGI60-13.30286,75.1212193108126,113.15518625162335,1.506301246036016,-50.63012460360159,40
RGI60-13.30295,90.16708028801463,93.66620923836567,1.0388071670855148,-3.8807167085514793,40
RGI60-13.30305,44.61112641750544,54.591482151655,1.223718980792918,-22.371898079291807,40
RGI60-13.30330,44.41987458575653,64.1376241847289,1.4438947606865493,-44.38947606865493,40
RGI60-13.30337,39.052188521728425,41.84973433668909,1.071636082915124,-7.163608291512391,40
RGI60-13.30339,44.65586302761871,48.62344130576359,1.0888478692190975,-8.884786921909749,40
RGI60-13.30346,29.04284587363012,38.0379117518067,1.309717095814721,-30.971709581472105,40
RGI60-13.30350,40.85267423955535,49.83763224710026,1.2199356143702353,-21.993561437023534,40
RGI60-13.30358,26.018466157630407,32.96698968523852,1.2670612281873141,-26.706122818731416,40
RGI60-13.30366,40.74080031158209,54.13920047740886,1.3288693413815056,-32.88693413815056,40
RGI60-13.30379,33.172015905367324,38.19051658658252,1.1512871781905192,-15.128717819051918,40
RGI60-13.30384,98.41640119632527,97.05012377715558,0.9861173808169924,1.3882619183007594,40
RGI60-13.30399,36.74363844343468,47.84120872553617,1.3020269835058504,-30.202698350585045,40
RGI60-13.30401,47.78464007348694,53.38108145881948,1.1171179980999077,-11.711799809990776,40
RGI60-13.30407,43.611674133714885,53.29746227649319,1.2220916379655622,-22.20916379655622,40
RGI60-13.30416,42.78605208187895,48.29613444226426,1.128782210376401,-12.878221037640092,40
RGI60-13.30417,41.27949348990808,52.694964221630734,1.2765409593630845,-27.654095936308455,40
RGI60-13.30420,56.05415709049826,65.58163869698343,1.1699692244252657,-16.996922442526575,40
RGI60-13.30421,62.8960200411308,68.9480350283018,1.0962225429083143,-9.622254290831433,40
RGI60-13.30654,48.05592245576016,59.11821611290437,1.2301962607694572,-23.01962607694572,40
RGI60-13.30692,53.38204489476273,53.8414857759595,1.0086066557042073,-0.8606655704207267,40
RGI60-13.30710,55.327205487228525,75.30087711000813,1.3610099488467544,-36.100994884675444,40
RGI60-13.30774,65.07613182727172,73.4874802638869,1.1292539707021902,-12.925397070219024,40
RGI60-13.30783,52.170139841009885,70.08395122195768,1.3433728840969057,-34.33728840969057,40
RGI60-13.30803,58.16586487359857,87.16477968842447,1.4985555510580395,-49.85555510580395,40
RGI60-13.30835,55.33321532058037,71.64451601022783,1.2947831712858988,-29.478317128589882,40
RGI60-13.30859,52.234806651624396,51.629779178137724,0.9884171587439226,1.1582841256077447,40
RGI60-13.30888,60.60938275655703,52.73738221919884,0.8701191106172843,12.98808893827157,40
RGI60-13.30913,52.06088733620567,53.46956493543551,1.0270582710227674,-2.7058271022767366,40
RGI60-13.30938,55.90223378708638,66.24398758267628,1.1849971476091121,-18.49971476091121,40
RGI60-13.30951,68.91795839650163,74.53921540607128,1.0815644737649963,-8.156447376499631,40
RGI60-13.31047,85.1430422229486,56.227882692663414,0.6603931598477423,33.96068401522577,40
RGI60-13.31079,65.20044326889715,1068.2608409737732,16.38425733653492,-1538.425733653492,40
RGI60-13.31095,71.57981395790848,68.03476141511064,0.9504741302501372,4.952586974986284,40
RGI60-13.31112,72.35559276507942,87.5332409525931,1.209764685872874,-20.97646858728739,40
RGI60-13.31114,92.62837219237508,68.63118814737413,0.7409305218582145,25.90694781417855,40
RGI60-13.31116,73.25557597733261,80.38859718331986,1.0973717169078476,-9.737171690784763,40
RGI60-13.31120,85.7642616710641,80.66324465835935,0.9405228131938,5.947718680619996,40
RGI60-13.31151,87.92530952634775,87.2660221030983,0.9925017332688163,0.74982667311837,40
RGI60-13.31193,120.8766082304491,113.16303960610196,0.9361864240131368,6.381357598686321,40
RGI60-13.31201,109.85470098896462,86.44698796230679,0.7869211529781505,21.307884702184953,40
RGI60-13.31210,102.49247660181058,819.8452205727499,7.999077081119718,-699.9077081119718,40
RGI60-13.31227,117.78195925827848,706.663737637771,5.999762120514192,-499.9762120514192,40
RGI60-13.31255,81.88194771181294,873.758839946628,10.670958182649116,-967.0958182649116,40
RGI60-13.43308,105.07257501239754,144.70043930714908,1.3771475505389914,-37.71475505389914,40
RGI60-13.43355,134.28360309170324,130.81252191345476,0.9741511167534057,2.584888324659429,40
RGI60-13.43388,86.94336045362009,74.01824447349198,0.8513386656244573,14.866133437554275,40
RGI60-13.43396,107.54924948856755,116.11693305816479,1.079662885704348,-7.9662885704347985,40
RGI60-13.43398,52.0427659763413,66.11461078004565,1.2703900251977414,-27.039002519774137,40
RGI60-13.43400,46.35222547836174,70.45913774475805,1.5200810105147688,-52.008101051476885,40
RGI60-13.43402,41.02100601820952,47.66899790357438,1.162063111821602,-16.206311182160206,40
RGI60-13.43407,35.00749851567698,47.407169081170174,1.354200416803247,-35.42004168032471,40
RGI60-13.43420,46.497204429593936,65.73191554971002,1.4136745715377335,-41.367457153773344,40
RGI60-13.43422,37.60154467383685,50.13979031036045,1.333450280973334,-33.3450280973334,40
RGI60-13.43423,43.06379626258462,51.38448225852547,1.1932176611927958,-19.32176611927958,40
RGI60-13.43424,44.472089252065516,50.86662783179967,1.143787680931496,-14.378768093149596,40
RGI60-13.43425,92.88905964467956,116.33081993501753,1.2523629841878736,-25.236298418787364,40
RGI60-13.43426,84.84289218246147,89.17246169602045,1.0510304328646276,-5.103043286462761,40
RGI60-13.43427,90.45717796941128,108.35528459218449,1.1978627569923128,-19.786275699231282,40
RGI60-13.43428,98.6987701447326,113.99270331490811,1.1549556610254335,-15.495566102543346,40
RGI60-13.43429,109.32873435518187,162.3045340133657,1.4845551352133755,-48.455513521337544,40
RGI60-13.43430,102.0806561156644,117.81987794932529,1.154184175852339,-15.4184175852339,40
RGI60-13.43431,119.31751800484267,147.9631988354848,1.240079422616537,-24.007942261653703,40
RGI60-13.43432,125.3405861892154,125.70173109049556,1.002881308539071,-0.28813085390710924,40
RGI60-13.43433,88.35076265733714,87.51078138865512,0.9904926540143086,0.9507345985691362,40
RGI60-13.43434,84.80171346798693,447.3755044912118,5.275547936423396,-427.55479364233963,40
RGI60-13.43435,109.90075662720237,113.74922784408662,1.0350176953734516,-3.5017695373451563,40
RGI60-13.43436,92.21461286030012,116.90199606967727,1.2677166063341379,-26.771660633413784,40
RGI60-13.43437,100.5230094231218,117.2281477405013,1.1661822344281696,-16.61822344281696,40
RGI60-13.43438,93.54824450867882,142.23355227860378,1.5204299452717869,-52.042994527178685,40
RGI60-13.43439,106.69262057145939,131.62353359070335,1.2336704533613436,-23.36704533613436,40
RGI60-13.43440,39.44669830636606,43.35979420104396,1.0991995797540624,-9.919957975406234,40
RGI60-13.43441,103.96902864950764,120.57465609357783,1.159717058625686,-15.971705862568598,40
RGI60-13.43442,96.07605751900097,127.87136802485472,1.330938959475562,-33.093895947556206,40
RGI60-13.43443,86.37348483939857,97.76791992997339,1.1319205206523775,-13.192052065237746,40
RGI60-13.43444,49.14885381947094,70.87976275189742,1.4421447753846917,-44.21447753846917,40
RGI60-13.43445,46.35689485314487,53.94358076978656,1.1636581988650139,-16.365819886501388,40
RGI60-13.43446,91.14525573457107,96.71833484510053,1.0611450268652278,-6.1145026865227825,40
RGI60-13.43447,80.4296069696101,111.51548289159655,1.3864979215145325,-38.649792151453255,40
RGI60-13.43448,77.82939846324808,88.97139753690566,1.1431592597868763,-14.315925978687627,40
