time,month_2d,melt_off_glacier_monthly,melt_on_glacier_monthly,liq_prcp_off_glacier_monthly,liq_prcp_on_glacier_monthly,total_runoff,volume_m3,area_m2,length_m,off_area,on_area
1980.0,1,0.0,0.0,0.0,0.0,0.0,,,,,
1980.0,2,0.0,0.0,0.0,0.0,0.0,,,,,
1980.0,3,0.0,0.0,0.0,0.0,0.0,,,,,
1980.0,4,0.124022,1.41434,0.019813,0.098624,1.656799,,,,,
1980.0,5,1.2140279999999988,107.80735099999997,0.7446759999999997,26.915781999999997,136.68186099999983,,,,,
1980.0,6,4.931382999999999,351.85343499999993,2.2413709999999982,101.37696499999998,460.4032010000003,,,,,
1980.0,7,22.27399800000002,1815.069861,7.89496,390.658104,2235.896891999999,,,,,
1980.0,8,2.200953999999996,1372.7442810000002,13.558644,603.4272080000004,1991.9310830000031,,,,,
1980.0,9,0.5375359999999991,162.99295599999982,0.36453399999999997,13.589463999999994,177.48450700000004,,,,,
1980.0,10,0.028869,0.9133769999999999,0.002222,0.014347,0.9588139999999998,,,,,
1980.0,11,0.0,0.0,0.0,0.0,0.0,,,,,
1980.0,12,0.0,0.0,0.0,0.0,0.0,,,,,
1981.0,1,0.0,0.0,0.0,0.0,0.0,,,,,
1981.0,2,0.0,0.0,0.0,0.0,0.0,,,,,
1981.0,3,0.0,0.0,0.0,0.0,0.0,,,,,
1981.0,4,0.159172,1.148132,0.018193,0.09085,1.416346,,,,,
1981.0,5,1.2492599999999994,84.61300600000001,0.9231679999999999,28.858787000000014,115.6442260000001,,,,,
1981.0,6,6.018012000000007,387.4506400000003,4.421540999999999,180.1422080000001,578.0324550000004,,,,,
1981.0,7,22.969216000000042,1346.9252269999988,12.039697000000002,570.1559559999994,1952.0901210000027,,,,,
1981.0,8,11.905649999999998,821.1176140000006,6.656964999999999,224.17300800000035,1063.8532250000019,,,,,
1981.0,9,0.3353799999999998,91.91652799999997,0.37196100000000004,12.511402999999998,105.13527800000003,,,,,
1981.0,10,0.0,0.0,0.0,0.0,0.0,,,,,
1981.0,11,0.0,0.0,0.0,0.0,0.0,,,,,
1981.0,12,0.0,0.0,0.0,0.0,0.0,,,,,
1982.0,1,0.0,0.0,0.0,0.0,0.0,,,,,
1982.0,2,0.0,0.0,0.0,0.0,0.0,,,,,
1982.0,3,0.0,0.0,0.0,0.0,0.0,,,,,
1982.0,4,0.18149300000000002,1.9604489999999999,0.009505,0.050603999999999996,2.2020500000000003,,,,,
1982.0,5,1.4134929999999983,116.77363299999998,0.8813699999999994,30.636160999999976,149.70463799999993,,,,,
1982.0,6,6.148522000000003,417.4416269999996,2.9169869999999993,124.86842400000005,551.3755250000003,,,,,
1982.0,7,20.665804000000012,1291.4027559999984,9.049343999999998,365.3131469999998,1686.4310330000033,,,,,
1982.0,8,13.170119999999994,1115.1016869999992,12.336851000000008,497.6481600000002,1638.256820999999,,,,,
1982.0,9,0.272859,74.32249999999992,0.34553300000000003,9.568842,84.50973099999999,,,,,
1982.0,10,0.02241,0.134794,0.0,0.0,0.157205,,,,,
1982.0,11,0.0,0.0,0.0,0.0,0.0,,,,,
1982.0,12,0.0,0.0,0.0,0.0,0.0,,,,,
1983.0,1,0.0,0.0,0.0,0.0,0.0,,,,,
1983.0,2,0.0,0.0,0.0,0.0,0.0,,,,,
1983.0,3,0.0,0.0,0.0,0.0,0.0,,,,,
1983.0,4,0.120009,0.7289430000000001,0.0059299999999999995,0.030612,0.8854940000000001,,,,,
1983.0,5,0.624447,34.824516,0.28904100000000005,9.168037,44.90604499999999,,,,,
1983.0,6,4.3769709999999975,293.68622699999975,2.2361999999999997,102.52315699999997,402.82252699999975,,,,,
1983.0,7,24.987163999999993,1484.9787879999976,6.75510800000001,310.87055999999984,1827.5916179999986,,,,,
1983.0,8,18.568529,2131.348168999998,5.263670999999995,276.85101199999957,2432.031416,,,,,
1983.0,9,0.6382309999999995,148.2707390000001,0.7108299999999996,23.891693,173.51150100000015,,,,,
1983.0,10,0.003974,0.031813,0.0,0.0,0.035787,,,,,
1983.0,11,0.0,0.0,0.0,0.0,0.0,,,,,
