RGI_ID,Year,Specific_MB
RGI60-13.04960,1901,1556.1744369146797
RGI60-13.04960,1902,823.6180131041566
RGI60-13.04960,1903,564.2012728423847
RGI60-13.04960,1904,528.9551100946994
RGI60-13.04960,1905,652.510767158606
RGI60-13.04960,1906,600.8872139713491
RGI60-13.04960,1907,964.9535381907198
RGI60-13.04960,1908,683.6853628761187
RGI60-13.04960,1909,474.0830526627709
RGI60-13.04960,1910,467.32335640838
RGI60-13.04960,1911,347.6686955021395
RGI60-13.04960,1912,213.4685130356357
RGI60-13.04960,1913,388.36743361625037
RGI60-13.04960,1914,-243.58736803360728
RGI60-13.04960,1915,-471.5915996415112
RGI60-13.04960,1916,-555.8406291689835
RGI60-13.04960,1917,-529.1712082000051
RGI60-13.04960,1918,-342.7300043319865
RGI60-13.04960,1919,-150.16878468259958
RGI60-13.04960,1920,225.58109280704045
RGI60-13.04960,1921,607.0299079284998
RGI60-13.04960,1922,-10.254705806428335
RGI60-13.04960,1923,-436.3094387736874
RGI60-13.04960,1924,-292.2640423866666
RGI60-13.04960,1925,-106.8178814332266
RGI60-13.04960,1926,56.03560091574061
RGI60-13.04960,1927,260.87091320131015
RGI60-13.04960,1928,529.4752362259673
RGI60-13.04960,1929,271.2215868425989
RGI60-13.04960,1930,55.62317902235975
RGI60-13.04960,1931,-256.1209719152397
RGI60-13.04960,1932,141.15173148221632
RGI60-13.04960,1933,-279.0295274730452
RGI60-13.04960,1934,559.3576915381992
RGI60-13.04960,1935,-53.42713066240373
RGI60-13.04960,1936,203.1947400847656
RGI60-13.04960,1937,64.90786519738546
RGI60-13.04960,1938,-40.41274752068432
RGI60-13.04960,1939,-454.36984303887346
RGI60-13.04960,1940,406.37231595708516
RGI60-13.04960,1941,406.44142147245594
RGI60-13.04960,1942,327.0144455208481
RGI60-13.04960,1943,-592.7002291576
RGI60-13.04960,1944,-428.1843631987075
RGI60-13.04960,1945,-431.5935115112575
RGI60-13.04960,1946,480.59626108437226
RGI60-13.04960,1947,276.794358023911
RGI60-13.04960,1948,-478.4951745009137
RGI60-13.04960,1949,540.0313281139698
RGI60-13.04960,1950,-5.897706505395828
RGI60-13.04960,1951,206.57774067992528
RGI60-13.04960,1952,156.88065566524216
RGI60-13.04960,1953,51.872898711299754
RGI60-13.04960,1954,602.7460725811859
RGI60-13.04960,1955,-39.27799999094151
RGI60-13.04960,1956,-205.72743064856462
RGI60-13.04960,1957,-143.9882845143711
RGI60-13.04960,1958,348.70792577099263
RGI60-13.04960,1959,-9.544024400683
RGI60-13.04960,1960,395.9217312808849
RGI60-13.04960,1961,-273.7896300968119
RGI60-13.04960,1962,-136.86259814192968
RGI60-13.04960,1963,363.1668301152767
RGI60-13.04960,1964,103.1688091425498
RGI60-13.04960,1965,-325.8617373790582
