RGI_ID,Calibration_Method,MB_Geodetic,Temp_Bias,Prcp_Fac,melt_f,reference_period,Calibration_Success,MB_Model
RGI60-13.31079,geodetic_temp_bias,-363.4,-2.430762975442008,5.297066084744976,3.676027673194664,2000-01-01_2020-01-01,True,
RGI60-13.31095,geodetic_temp_bias,-244.9,-2.430762975442008,5.297066084744976,3.137807947131525,2000-01-01_2020-01-01,True,
RGI60-13.31112,geodetic_temp_bias,-507.29999999999995,-2.430762975442008,5.297066084744976,4.019561635229859,2000-01-01_2020-01-01,True,
RGI60-13.31114,geodetic_temp_bias,-193.39999999999998,-2.430762975442008,5.297066084744976,4.0781029531320865,2000-01-01_2020-01-01,True,
RGI60-13.31116,geodetic_temp_bias,-376.40000000000003,-2.430762975442008,5.297066084744976,3.182727414666749,2000-01-01_2020-01-01,True,
RGI60-13.31120,geodetic_temp_bias,-296.8,-2.430762975442008,5.297066084744976,3.265473998043741,2000-01-01_2020-01-01,True,
RGI60-13.31151,geodetic_temp_bias,-436.0,-2.430762975442008,5.297066084744976,3.873035987607157,2000-01-01_2020-01-01,True,
RGI60-13.31193,geodetic_temp_bias,-150.5,-0.1724087712465852,3.501249078036306,5.0,2000-01-01_2020-01-01,True,
RGI60-13.31201,geodetic_temp_bias,-83.2,-0.1724087712465852,4.097947472625496,5.0,2000-01-01_2020-01-01,True,
RGI60-13.31210,geodetic_temp_bias,-40.2,-0.1724087712465852,5.057008767054058,3.5669214697055467,2000-01-01_2020-01-01,True,
RGI60-13.31227,geodetic_temp_bias,-131.1,-0.1724087712465852,5.057008767054058,4.19471139913985,2000-01-01_2020-01-01,True,
RGI60-13.31255,geodetic_temp_bias,-90.80000000000001,-0.1724087712465852,5.057008767054058,4.783965272128681,2000-01-01_2020-01-01,True,
RGI60-13.43308,geodetic_temp_bias,-189.79999999999998,-0.1724087712465852,3.371339178036039,8.387644916644666,2000-01-01_2020-01-01,True,
RGI60-13.43355,geodetic_temp_bias,-238.1,-0.1724087712465852,3.371339178036039,8.692352885509894,2000-01-01_2020-01-01,True,
RGI60-13.43388,geodetic_temp_bias,-217.4,-2.430762975442008,4.257064541525704,5.0,2000-01-01_2020-01-01,True,
RGI60-13.43396,geodetic_temp_bias,-239.7,-1.7632498519360043,3.5313773898299843,17.0,2000-01-01_2020-01-01,True,
RGI60-13.43398,geodetic_temp_bias,-277.6,-3.441515374434184,4.412933413834499,10.300845256246387,2000-01-01_2020-01-01,True,
RGI60-13.43400,geodetic_temp_bias,-371.0,-2.6872457858212915,4.412933413834499,17.0,2000-01-01_2020-01-01,True,
RGI60-13.43402,geodetic_temp_bias,-37.6,-3.441515374434184,5.1969728996034785,5.0,2000-01-01_2020-01-01,True,
RGI60-13.43407,geodetic_temp_bias,-304.59999999999997,-3.441515374434184,4.412933413834499,6.860206449151283,2000-01-01_2020-01-01,True,
RGI60-13.43420,geodetic_temp_bias,89.89999999999999,-3.441515374434184,5.616379497836642,5.0,2000-01-01_2020-01-01,True,
RGI60-13.43422,geodetic_temp_bias,-160.89999999999998,-3.441515374434184,6.619400120751748,4.2280280352944075,2000-01-01_2020-01-01,True,
RGI60-13.43423,geodetic_temp_bias,-274.3,-3.441515374434184,6.360215028716969,5.0,2000-01-01_2020-01-01,True,
RGI60-13.43424,geodetic_temp_bias,-121.89999999999999,-3.441515374434184,6.619400120751748,4.985203496193366,2000-01-01_2020-01-01,True,
RGI60-13.43425,geodetic_temp_bias,-55.5,-2.430762975442008,3.5313773898299843,7.22931287287531,2000-01-01_2020-01-01,True,
RGI60-13.43426,geodetic_temp_bias,476.2,-2.430762975442008,4.259735632040063,5.0,2000-01-01_2020-01-01,True,
RGI60-13.43427,geodetic_temp_bias,-203.1,-2.430762975442008,5.297066084744976,4.452421702582355,2000-01-01_2020-01-01,True,
RGI60-13.43428,geodetic_temp_bias,-239.0,-2.379095162587798,3.5313773898299843,17.0,2000-01-01_2020-01-01,True,
RGI60-13.43429,geodetic_temp_bias,-280.2,-2.4006959653566953,3.5313773898299843,17.0,2000-01-01_2020-01-01,True,
RGI60-13.43430,geodetic_temp_bias,-324.5,-2.430762975442008,3.5313773898299843,13.533282320897783,2000-01-01_2020-01-01,True,
RGI60-13.43431,geodetic_temp_bias,95.8,-2.221914995117184,3.5313773898299843,17.0,2000-01-01_2020-01-01,True,
RGI60-13.43432,geodetic_temp_bias,-53.0,-2.430762975442008,3.5313773898299843,15.0881300207825,2000-01-01_2020-01-01,True,
RGI60-13.43433,geodetic_temp_bias,-87.0,-2.430762975442008,4.192083757833634,5.0,2000-01-01_2020-01-01,True,
RGI60-13.43434,geodetic_temp_bias,377.3,-2.430762975442008,5.297066084744976,3.2913506179726593,2000-01-01_2020-01-01,True,
RGI60-13.43435,geodetic_temp_bias,-285.6,-2.430762975442008,3.5313773898299843,14.535913433458363,2000-01-01_2020-01-01,True,
RGI60-13.43436,geodetic_temp_bias,151.7,-2.430762975442008,3.726942453094735,5.0,2000-01-01_2020-01-01,True,
RGI60-13.43437,geodetic_temp_bias,214.4,-2.430762975442008,3.5313773898299843,7.729721825288258,2000-01-01_2020-01-01,True,
RGI60-13.43438,geodetic_temp_bias,607.4000000000001,-2.430762975442008,5.297066084744976,3.3755620967991007,2000-01-01_2020-01-01,True,
RGI60-13.43439,geodetic_temp_bias,-237.3,-2.430762975442008,3.5313773898299843,12.434338435392233,2000-01-01_2020-01-01,True,
RGI60-13.43440,geodetic_temp_bias,-12.5,-3.441515374434184,6.619400120751748,3.5559763136062372,2000-01-01_2020-01-01,True,
RGI60-13.43441,geodetic_temp_bias,156.1,-1.8647115420740985,3.5313773898299843,17.0,2000-01-01_2020-01-01,True,
RGI60-13.43442,geodetic_temp_bias,-204.65888913841167,-2.430762975442008,3.5313773898299843,11.30842285327093,2000-01-01_2020-01-01,True,
RGI60-13.43443,geodetic_temp_bias,-204.65888913841167,-2.430762975442008,3.5313773898299843,5.596876587837897,2000-01-01_2020-01-01,True,
RGI60-13.43444,geodetic_temp_bias,234.1,-3.441515374434184,4.412933413834499,11.336914597125421,2000-01-01_2020-01-01,True,
RGI60-13.43445,geodetic_temp_bias,312.3,-3.441515374434184,5.18241161392304,5.0,2000-01-01_2020-01-01,True,
RGI60-13.43446,geodetic_temp_bias,-59.6,-2.430762975442008,5.297066084744976,4.754683825829272,2000-01-01_2020-01-01,True,
RGI60-13.43447,geodetic_temp_bias,-38.1,-2.430762975442008,5.1538356525852675,5.0,2000-01-01_2020-01-01,True,
RGI60-13.43448,geodetic_temp_bias,99.3,-2.430762975442008,5.297066084744976,3.502102085368974,2000-01-01_2020-01-01,True,
RGI60-13.43449,geodetic_temp_bias,-204.65888913841167,-1.607224711700785,3.5313773898299843,17.0,2000-01-01_2020-01-01,True,
RGI60-13.43450,geodetic_temp_bias,1053.8000000000002,-2.430762975442008,5.297066084744976,2.061340391499344,2000-01-01_2020-01-01,True,
RGI60-13.43451,geodetic_temp_bias,353.8,-2.430762975442008,5.297066084744976,2.959703343821584,2000-01-01_2020-01-01,True,
RGI60-13.43452,geodetic_temp_bias,-420.70000000000005,-2.430762975442008,3.5313773898299843,15.87207740791785,2000-01-01_2020-01-01,True,
RGI60-13.43453,geodetic_temp_bias,-191.0,-3.441515374434184,6.0167541699640825,5.0,2000-01-01_2020-01-01,True,
RGI60-13.43454,geodetic_temp_bias,-288.4,-2.430762975442008,5.297066084744976,4.874055865785541,2000-01-01_2020-01-01,True,
RGI60-13.43455,geodetic_temp_bias,-124.5,-2.430762975442008,3.5313773898299843,5.840045392019472,2000-01-01_2020-01-01,True,
RGI60-13.43456,geodetic_temp_bias,235.6,-3.441515374434184,6.619400120751748,4.8419757496451865,2000-01-01_2020-01-01,True,
RGI60-13.43457,geodetic_temp_bias,232.6,-3.441515374434184,6.619400120751748,3.8271214251966046,2000-01-01_2020-01-01,True,
RGI60-13.43458,geodetic_temp_bias,-216.4,-2.967816819306096,4.412933413834499,17.0,2000-01-01_2020-01-01,True,
RGI60-13.43459,geodetic_temp_bias,-92.3,-3.441515374434184,4.704627570686007,5.0,2000-01-01_2020-01-01,True,
RGI60-13.43460,geodetic_temp_bias,-182.79999999999998,-3.441515374434184,4.709603480290599,5.0,2000-01-01_2020-01-01,True,
RGI60-13.43461,geodetic_temp_bias,-268.2,-2.430762975442008,3.5313773898299843,8.601381779766388,2000-01-01_2020-01-01,True,
RGI60-13.43462,geodetic_temp_bias,-40.9,-3.441515374434184,5.421690871183819,5.0,2000-01-01_2020-01-01,True,
RGI60-13.43463,geodetic_temp_bias,81.19999999999999,-2.430762975442008,5.115862680430435,5.0,2000-01-01_2020-01-01,True,
RGI60-13.43464,geodetic_temp_bias,-199.9,-3.441515374434184,5.651060663189573,5.0,2000-01-01_2020-01-01,True,
RGI60-13.43465,geodetic_temp_bias,-31.2,-3.441515374434184,6.619400120751748,2.77308419036032,2000-01-01_2020-01-01,True,
RGI60-13.43466,geodetic_temp_bias,38.199999999999996,-3.441515374434184,4.412933413834499,5.1950148346148435,2000-01-01_2020-01-01,True,
RGI60-13.43467,geodetic_temp_bias,22.599999999999998,-2.430762975442008,5.297066084744976,2.932201419150644,2000-01-01_2020-01-01,True,
RGI60-13.43468,geodetic_temp_bias,192.70000000000002,-3.441515374434184,6.619400120751748,2.161165704157069,2000-01-01_2020-01-01,True,
RGI60-13.43469,geodetic_temp_bias,-159.5,-2.430762975442008,4.59139251050802,5.0,2000-01-01_2020-01-01,True,
RGI60-13.43470,geodetic_temp_bias,-358.9,-3.441515374434184,4.412933413834499,6.062585033636519,2000-01-01_2020-01-01,True,
RGI60-13.43471,geodetic_temp_bias,26.3,-3.441515374434184,6.619400120751748,2.688513889461422,2000-01-01_2020-01-01,True,
RGI60-13.43472,geodetic_temp_bias,-112.4,-3.1123214759776654,4.412933413834499,17.0,2000-01-01_2020-01-01,True,
