RGI_ID,Calibration_Method,MB_Geodetic,Temp_Bias,Prcp_Fac,melt_f,reference_period,Calibration_Success,MB_Model
RGI60-13.00002,geodetic_temp_bias,27.099999999999998,-3.3422205071135127,4.040397917612786,17.0,2000-01-01_2020-01-01,True,
RGI60-13.00003,geodetic_temp_bias,163.1,-3.824809525609513,5.679203926494199,5.0,2000-01-01_2020-01-01,True,
RGI60-13.00004,geodetic_temp_bias,-35.9,-3.824809525609513,4.040397917612786,5.038676576098631,2000-01-01_2020-01-01,True,
RGI60-13.00005,geodetic_temp_bias,-75.6,-3.824809525609513,4.040397917612786,5.208305384892844,2000-01-01_2020-01-01,True,
RGI60-13.00006,geodetic_temp_bias,-18.4,-3.824809525609513,4.191023682548434,5.0,2000-01-01_2020-01-01,True,
RGI60-13.00007,geodetic_temp_bias,141.7,-3.824809525609513,4.040397917612786,9.82311302075073,2000-01-01_2020-01-01,True,
RGI60-13.00008,geodetic_temp_bias,35.3,-3.6374047789750104,4.040397917612786,17.0,2000-01-01_2020-01-01,True,
RGI60-13.00009,geodetic_temp_bias,120.3,-3.824809525609513,4.040397917612786,6.452608026897244,2000-01-01_2020-01-01,True,
RGI60-13.00010,geodetic_temp_bias,48.599999999999994,-3.3744539631831767,4.040397917612786,17.0,2000-01-01_2020-01-01,True,
RGI60-13.00011,geodetic_temp_bias,45.1,-3.1757809345682797,4.040397917612786,17.0,2000-01-01_2020-01-01,True,
RGI60-13.00012,geodetic_temp_bias,209.4,-3.2375583456907,5.729109871640026,5.0,2000-01-01_2020-01-01,True,
RGI60-13.00013,geodetic_temp_bias,38.199999999999996,-2.763482410988054,4.472878519253057,17.0,2000-01-01_2020-01-01,True,
RGI60-13.00014,geodetic_temp_bias,14.0,-3.2375583456907,5.795644804959541,5.0,2000-01-01_2020-01-01,True,
RGI60-13.00015,geodetic_temp_bias,183.7,-3.2375583456907,4.472878519253057,5.011883558092624,2000-01-01_2020-01-01,True,
RGI60-13.00016,geodetic_temp_bias,47.9,-1.8427159082411693,4.472878519253057,17.0,2000-01-01_2020-01-01,True,
RGI60-13.00017,geodetic_temp_bias,131.39999999999998,-3.2375583456907,4.472878519253057,7.490827386782379,2000-01-01_2020-01-01,True,
RGI60-13.00018,geodetic_temp_bias,-81.0,-1.7264987949320953,4.472878519253057,17.0,2000-01-01_2020-01-01,True,
RGI60-13.00019,geodetic_temp_bias,73.7,-2.562376462543912,4.472878519253057,17.0,2000-01-01_2020-01-01,True,
RGI60-13.00020,geodetic_temp_bias,77.2,-3.2375583456907,5.835823319654677,5.0,2000-01-01_2020-01-01,True,
RGI60-13.00021,geodetic_temp_bias,131.6,-3.2375583456907,4.472878519253057,10.490359408624936,2000-01-01_2020-01-01,True,
RGI60-13.00022,geodetic_temp_bias,313.59999999999997,-3.2375583456907,6.579826128217541,5.0,2000-01-01_2020-01-01,True,
RGI60-13.00023,geodetic_temp_bias,-1.9,-3.2375583456907,4.654803872921452,5.0,2000-01-01_2020-01-01,True,
RGI60-13.00024,geodetic_temp_bias,-46.0,-3.2375583456907,4.472878519253057,6.547013256077121,2000-01-01_2020-01-01,True,
RGI60-13.00025,geodetic_temp_bias,155.0,-3.178813575753287,4.472878519253057,17.0,2000-01-01_2020-01-01,True,
RGI60-13.00026,geodetic_temp_bias,130.0,-3.2375583456907,4.554430415338585,5.0,2000-01-01_2020-01-01,True,
RGI60-13.00027,geodetic_temp_bias,-120.39999999999999,-1.131630187868452,4.472878519253057,17.0,2000-01-01_2020-01-01,True,
RGI60-13.00028,geodetic_temp_bias,124.8,-2.8973326092462015,4.472878519253057,17.0,2000-01-01_2020-01-01,True,
RGI60-13.00029,geodetic_temp_bias,139.9,-3.2375583456907,4.472878519253057,11.75546475443134,2000-01-01_2020-01-01,True,
RGI60-13.00030,geodetic_temp_bias,104.7,-2.176866383775915,4.472878519253057,17.0,2000-01-01_2020-01-01,True,
