RGI_ID,Year,Specific_MB
RGI60-13.44959,1901,1094.4077977750126
RGI60-13.44959,1902,705.4708698465068
RGI60-13.44959,1903,1018.4880904802205
RGI60-13.44959,1904,-342.5866675437082
RGI60-13.44959,1905,-68.39636914356328
RGI60-13.44959,1906,-439.54454263151536
RGI60-13.44959,1907,810.1358848514953
RGI60-13.44959,1908,256.5482353908243
RGI60-13.44959,1909,-607.4320374251723
RGI60-13.44959,1910,-302.92143028797796
RGI60-13.44959,1911,863.2502914924762
RGI60-13.44959,1912,322.9726603742701
RGI60-13.44959,1913,1012.9314922197084
RGI60-13.44959,1914,155.30498374835844
RGI60-13.44959,1915,-804.7596113619418
RGI60-13.44959,1916,-366.25288657725594
RGI60-13.44959,1917,-346.2693260757858
RGI60-13.44959,1918,-543.0795664767727
RGI60-13.44959,1919,1281.049666713578
RGI60-13.44959,1920,194.28060133937257
RGI60-13.44959,1921,266.87285056502606
RGI60-13.44959,1922,-503.7216888363279
RGI60-13.44959,1923,-614.8548576683833
RGI60-13.44959,1924,-519.5968945855305
RGI60-13.44959,1925,680.7092351387314
RGI60-13.44959,1926,694.8894887274306
RGI60-13.44959,1927,213.81920976223142
RGI60-13.44959,1928,628.8814272719884
RGI60-13.44959,1929,715.9343019555984
RGI60-13.44959,1930,1482.4761169052317
RGI60-13.44959,1931,-27.49539824367879
RGI60-13.44959,1932,759.084872417501
RGI60-13.44959,1933,-518.7686168638181
RGI60-13.44959,1934,846.5088656942906
RGI60-13.44959,1935,-580.1852289202899
RGI60-13.44959,1936,419.21927032181657
RGI60-13.44959,1937,726.6489879269282
RGI60-13.44959,1938,581.1348717459791
RGI60-13.44959,1939,146.6651851171665
RGI60-13.44959,1940,-295.223547032147
RGI60-13.44959,1941,545.4924330079803
RGI60-13.44959,1942,2611.3921865079546
RGI60-13.44959,1943,-879.6327758554688
RGI60-13.44959,1944,-740.2808065118926
RGI60-13.44959,1945,-1030.1356426649572
RGI60-13.44959,1946,1140.0843183976922
RGI60-13.44959,1947,347.99053240694855
RGI60-13.44959,1948,-507.7528280275279
RGI60-13.44959,1949,572.148220541776
RGI60-13.44959,1950,-624.5488368719036
RGI60-13.44959,1951,-336.1671116566041
RGI60-13.44959,1952,-18.4719486763307
RGI60-13.44959,1953,33.51306776686497
RGI60-13.44959,1954,597.0556327546717
RGI60-13.44959,1955,-458.40026218283117
RGI60-13.44959,1956,66.74358976021904
RGI60-13.44959,1957,-285.34110092993836
RGI60-13.44959,1958,782.4865786612228
RGI60-13.44959,1959,554.7594012560058
RGI60-13.44959,1960,405.97657674187025
RGI60-13.44959,1961,360.21716297811173
RGI60-13.44959,1962,-836.2992996644457
RGI60-13.44959,1963,65.04894570160675
RGI60-13.44959,1964,-182.70652903742345
RGI60-13.44959,1965,-638.9255469079388
RGI60-13.44959,1966,-104.02664476423615
RGI60-13.44959,1967,169.18054970813364
RGI60-13.44959,1968,-566.5950720593074
RGI60-13.44959,1969,575.8611488516761
RGI60-13.44959,1970,89.7422953609806
RGI60-13.44959,1971,360.44396167260635
RGI60-13.44959,1972,414.4703136641113
RGI60-13.44959,1973,-507.3684014159117
RGI60-13.44959,1974,-873.4848432843183
RGI60-13.44959,1975,-237.99295239182447
RGI60-13.44959,1976,392.92104672316964
RGI60-13.44959,1977,-661.2057566804588
RGI60-13.44959,1978,96.87136224801785
RGI60-13.44959,1979,817.6069653755985
RGI60-13.44959,1980,-105.81593113857673
RGI60-13.44959,1981,-151.57464240325348
RGI60-13.44959,1982,213.26306706583043
RGI60-13.44959,1983,-147.28843330644813
RGI60-13.44959,1984,238.03025915279557
RGI60-13.44959,1985,-450.2316791242926
RGI60-13.44959,1986,63.59394096946277
RGI60-13.44959,1987,-236.1334254984322
RGI60-13.44959,1988,706.7008050927118
RGI60-13.44959,1989,766.719146127282
RGI60-13.44959,1990,-237.90840173190784
RGI60-13.44959,1991,-310.8090293337948
RGI60-13.44959,1992,645.3733242620243
RGI60-13.44959,1993,803.6180007843712
RGI60-13.44959,1994,318.5208380608172
RGI60-13.44959,1995,-358.0231969406247
RGI60-13.44959,1996,-7.451419675073597
RGI60-13.44959,1997,-412.2730800816428
RGI60-13.44959,1998,-721.5315987367105
RGI60-13.44959,1999,-266.88879488874926
RGI60-13.44959,2000,-43.78177584134217
RGI60-13.44959,2001,-1110.8667709638617
RGI60-13.44959,2002,-638.9841054143936
RGI60-13.44959,2003,206.58615242296352
RGI60-13.44959,2004,-518.9605702741696
RGI60-13.44959,2005,-536.4411475745472
RGI60-13.44959,2006,-868.007503403931
RGI60-13.44959,2007,-754.9092406929328
RGI60-13.44959,2008,-1130.1168820930536
RGI60-13.44959,2009,-55.55594074295957
RGI60-13.44959,2010,-575.9677288082886
RGI60-13.44959,2011,-1026.8620871075104
RGI60-13.44959,2012,-979.2329710570436
RGI60-13.44959,2013,-58.32521772864576
RGI60-13.44959,2014,-3.0772713970196315
RGI60-13.44959,2015,52.59673727253023
RGI60-13.44959,2016,-771.0664858620921
RGI60-13.44959,2017,-722.8013772369006
RGI60-13.44959,2018,-644.451387740017
RGI60-13.44959,2019,104.22557424321285
RGI60-13.44971,1901,56.00249423687224
RGI60-13.44971,1902,-156.47295324003716
RGI60-13.44971,1903,343.63396609121077
RGI60-13.44971,1904,-871.8339310170913
RGI60-13.44971,1905,-546.5308873282905
RGI60-13.44971,1906,-930.9603454327022
RGI60-13.44971,1907,9.956864144955427
RGI60-13.44971,1908,-356.88677458943624
RGI60-13.44971,1909,-1184.9881118463663
RGI60-13.44971,1910,-755.0796041026188
RGI60-13.44971,1911,177.83069706382358
RGI60-13.44971,1912,-103.06560619160611
RGI60-13.44971,1913,241.02288167792295
RGI60-13.44971,1914,-330.5011402356957
RGI60-13.44971,1915,-1311.3360880531845
RGI60-13.44971,1916,-898.1187051182047
